timestamp_s,frame,face_detected,ear,ear_smooth,mar,eye_closed,pitch,yaw,roll,gaze_x,gaze_y,perclos,blink_rate,blink_duration_ms,microsleep_count,microsleep_dur_ms,yawn_count_recent,score_ear,score_perclos,score_blink,score_pose,score_yawn,attention_score,kss_estimate,fatigue_probability,alert_level,alert_label
14.136,1,1,0.2665,0.2665,0.4504,0,6258.03,-22169.71,59849.21,-0.0313,-0.0219,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,98.83,1.09,0.037,0,NOMINAL
14.23,2,1,0.2662,0.2662,0.45,0,6344.33,-22088.71,59922.91,0.0317,-0.0301,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,97.71,1.18,0.04,0,NOMINAL
14.258,3,1,0.2525,0.2594,0.4508,0,6729.16,-21944.64,59697.58,0.0388,-0.0284,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,96.62,1.27,0.043,0,NOMINAL
14.286,4,1,0.2888,0.2694,0.4492,0,6509.41,-21932.92,59890.22,0.0035,-0.0333,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,95.56,1.36,0.046,0,NOMINAL
14.318,5,1,0.2885,0.2744,0.4507,0,6501.8,-21932.77,59848.99,0.0138,-0.029,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,94.54,1.44,0.049,0,NOMINAL
14.342,6,1,0.2931,0.2785,0.4496,0,6478.54,-21950.49,59817.42,0.0179,-0.0236,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,93.56,1.52,0.052,0,NOMINAL
14.365,7,1,0.2926,0.2812,0.4496,0,6383.87,-21947.92,59951.53,0.0172,-0.0346,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,92.61,1.59,0.055,0,NOMINAL
14.393,8,1,0.2696,0.2792,0.448,0,6296.46,-21892.03,59993.17,0.0424,-0.0376,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,91.69,1.67,0.058,0,NOMINAL
14.418,9,1,0.2735,0.2783,0.4483,0,6581.55,-21969.38,59821.63,0.0362,-0.036,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,90.8,1.74,0.062,0,NOMINAL
14.445,10,1,0.2709,0.2772,0.4495,0,6485.69,-21990.89,59796.75,0.0425,-0.0315,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,89.94,1.81,0.065,0,NOMINAL
14.477,11,1,0.286,0.2784,0.4498,0,6209.33,-21714.07,60078.58,0.0355,-0.0367,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,89.11,1.87,0.069,0,NOMINAL
14.508,12,1,0.2898,0.28,0.4488,0,6420.54,-21818.24,59973.78,0.0234,-0.0304,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,88.3,1.94,0.072,0,NOMINAL
14.536,13,1,0.29,0.2813,0.4504,0,6127.3,-21737.24,60179.54,0.0133,-0.0323,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,87.53,2.0,0.076,0,NOMINAL
14.561,14,1,0.2891,0.2823,0.4492,0,6479.19,-22128.56,59799.1,-0.0078,-0.0246,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,86.77,2.06,0.079,0,NOMINAL
14.588,15,1,0.297,0.2842,0.4493,0,6245.13,-21980.86,59949.24,-0.0181,-0.0221,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,86.05,2.12,0.083,0,NOMINAL
14.615,16,1,0.2948,0.2855,0.451,0,6373.45,-22010.06,59840.5,-0.0184,-0.0174,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,85.35,2.17,0.087,0,NOMINAL
14.643,17,1,0.3084,0.2884,0.4508,0,6341.76,-21875.36,59857.38,-0.0269,-0.0162,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,84.67,2.23,0.09,0,NOMINAL
14.677,18,1,0.2978,0.2896,0.4501,0,6219.96,-21711.2,59981.09,-0.0244,-0.0154,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,84.01,2.28,0.094,0,NOMINAL
14.707,19,1,0.2951,0.2903,0.4485,0,6301.97,-21994.52,59930.91,-0.0231,-0.0204,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,83.38,2.33,0.098,0,NOMINAL
14.737,20,1,0.2976,0.2912,0.4498,0,6196.01,-21990.17,59932.93,-0.0223,-0.0203,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,82.77,2.38,0.101,0,NOMINAL
14.779,21,1,0.2878,0.2908,0.4493,0,6475.43,-22130.04,59808.37,-0.028,-0.0204,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,82.17,2.43,0.105,0,NOMINAL
14.812,22,1,0.2958,0.2914,0.4493,0,6276.93,-22008.16,59846.32,-0.0249,-0.0208,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,81.6,2.47,0.108,0,NOMINAL
14.84,23,1,0.2946,0.2918,0.4491,0,6236.04,-21876.45,59910.85,-0.0077,-0.0214,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,81.05,2.52,0.112,0,NOMINAL
14.87,24,1,0.3048,0.2934,0.4489,0,6439.6,-21814.28,59865.64,-0.0016,-0.0226,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,80.51,2.56,0.116,0,NOMINAL
14.908,25,1,0.3001,0.2942,0.4497,0,6575.8,-21992.03,59667.51,0.0032,-0.0287,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,80.0,2.6,0.119,0,NOMINAL
14.929,26,1,0.3008,0.295,0.4489,0,6315.02,-22059.14,59893.35,-0.0073,-0.0262,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,79.5,2.64,0.123,0,NOMINAL
14.979,27,1,0.2988,0.2954,0.4481,0,6301.83,-21979.97,59923.01,0.0001,-0.0262,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,79.01,2.68,0.126,0,NOMINAL
15.01,28,1,0.287,0.2944,0.4487,0,6434.55,-22070.24,59859.38,0.0043,-0.0266,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,78.55,2.72,0.13,0,NOMINAL
15.039,29,1,0.3052,0.2957,0.4477,0,6247.98,-21946.17,59967.13,0.0088,-0.0283,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,78.09,2.75,0.133,0,NOMINAL
15.075,30,1,0.3028,0.2966,0.4475,0,6451.78,-22047.52,59784.74,0.0063,-0.028,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,77.66,2.79,0.137,0,NOMINAL
15.111,31,1,0.3022,0.2973,0.4486,0,6395.88,-22044.84,59840.75,0.0004,-0.027,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,77.24,2.82,0.14,0,NOMINAL
15.141,32,1,0.3009,0.2977,0.4478,0,6291.89,-22053.53,59912.83,0.0005,-0.0228,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,76.83,2.85,0.143,0,NOMINAL
15.172,33,1,0.3086,0.299,0.448,0,6418.23,-22135.94,59761.26,0.0071,-0.0259,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,76.43,2.89,0.147,0,NOMINAL
15.202,34,1,0.3016,0.2993,0.4491,0,6459.63,-22204.11,59742.84,0.0044,-0.0246,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,76.05,2.92,0.15,0,NOMINAL
15.237,35,1,0.2935,0.2986,0.4484,0,6300.4,-21913.75,59883.51,0.0185,-0.0257,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,75.68,2.95,0.153,0,NOMINAL
15.266,36,1,0.2894,0.2975,0.4481,0,6530.46,-21868.43,59712.12,0.0183,-0.0231,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,75.33,2.97,0.156,0,NOMINAL
