timestamp_s,frame,face_detected,ear,ear_smooth,mar,eye_closed,pitch,yaw,roll,gaze_x,gaze_y,perclos,blink_rate,blink_duration_ms,microsleep_count,microsleep_dur_ms,yawn_count_recent,light_intensity,glare_severity,is_glare_detected,score_ear,score_perclos,score_blink,score_pose,score_yawn,score_glare,attention_score,kss_estimate,fatigue_probability,alert_level,alert_label
12.017,1,1,0.3649,0.3649,0.4561,0,11410.52,-22294.81,47761.54,0.0148,-0.06,0.0,0.0,0.0,0,0.0,0,54.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,98.97,1.08,0.037,0,NOMINAL
12.09,2,1,0.3716,0.3714,0.4548,0,11576.17,-22194.04,47692.14,0.0076,-0.0518,0.0,0.0,0.0,0,0.0,0,42.3,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,97.97,1.16,0.039,0,NOMINAL
12.116,3,1,0.3897,0.3805,0.4584,0,11988.84,-22570.58,47153.07,0.0145,-0.0485,0.0,0.0,0.0,0,0.0,0,42.9,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,97.0,1.24,0.042,0,NOMINAL
12.138,4,1,0.3679,0.3762,0.4556,0,11219.97,-22154.05,48004.17,0.0127,-0.0555,0.0,0.0,0.0,0,0.0,0,50.8,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,96.07,1.31,0.044,0,NOMINAL
12.16,5,1,0.3832,0.3781,0.4571,0,11595.39,-22471.2,47559.75,0.0192,-0.0483,0.0,0.0,0.0,0,0.0,0,53.6,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,95.17,1.39,0.047,0,NOMINAL
12.183,6,1,0.3611,0.3744,0.4561,0,11696.7,-22469.46,47491.75,0.0109,-0.0542,0.0,0.0,0.0,0,0.0,0,46.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,94.29,1.46,0.05,0,NOMINAL
12.21,7,1,0.1644,0.3344,0.4565,0,12271.89,-22629.6,46843.51,-0.0506,0.0083,0.0,0.0,0.0,0,0.0,0,45.4,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,93.45,1.52,0.052,0,NOMINAL
12.239,8,1,0.109,0.2958,0.4533,0,11460.26,-21833.45,47714.13,-0.0593,0.028,0.0,0.0,0.0,0,0.0,0,49.0,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,92.64,1.59,0.055,0,NOMINAL
12.261,9,1,0.1104,0.2664,0.453,0,11148.89,-21810.5,47862.34,-0.0619,0.0427,0.0,0.0,0.0,0,0.0,0,51.6,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,91.85,1.65,0.058,0,NOMINAL
12.287,10,1,0.1072,0.2427,0.4535,0,11006.54,-21836.16,48209.64,-0.0235,0.0202,0.0,0.0,0.0,0,0.0,0,109.0,36.1,1,85.41,100.0,0.0,0.0,100.0,63.9,90.78,1.74,0.062,0,NOMINAL
12.312,11,1,0.1576,0.2306,0.4546,0,11917.39,-22504.55,47552.66,-0.0285,-0.002,0.0,0.0,0.0,0,0.0,0,45.9,0.0,0,61.23,100.0,0.0,0.0,100.0,100.0,89.72,1.82,0.066,0,NOMINAL
12.34,12,1,0.2128,0.2282,0.4551,0,12078.64,-22680.04,47368.69,0.0022,-0.0438,0.0,0.0,0.0,0,0.0,0,55.2,0.0,0,56.36,100.0,0.0,0.0,100.0,100.0,88.65,1.91,0.071,0,NOMINAL
12.366,13,1,0.241,0.2299,0.4548,0,12330.88,-22588.19,47197.64,0.0165,-0.0631,0.0,0.0,0.0,0,0.0,0,40.6,0.0,0,59.77,100.0,0.0,0.0,100.0,100.0,87.65,1.99,0.075,0,NOMINAL
12.39,14,1,0.2674,0.2348,0.4526,0,11871.18,-22483.23,47614.46,0.0341,-0.0689,0.0,0.0,0.0,0,0.0,0,54.9,0.0,0,69.54,100.0,0.0,0.0,100.0,100.0,86.76,2.06,0.079,0,NOMINAL
12.416,15,1,0.2826,0.2409,0.4537,0,11690.64,-22292.41,47894.06,0.0305,-0.0742,0.0,0.0,0.0,0,0.0,0,45.9,0.0,0,81.81,100.0,0.0,0.0,100.0,100.0,86.01,2.12,0.083,0,NOMINAL
12.453,16,1,0.3057,0.2491,0.4541,0,11845.26,-22389.95,47713.69,0.031,-0.0736,0.0,0.0,0.0,0,0.0,0,46.5,0.0,0,98.2,100.0,0.0,0.0,100.0,100.0,85.43,2.17,0.086,0,NOMINAL
12.503,17,1,0.3224,0.2583,0.4573,0,12114.92,-22404.82,47475.78,0.0241,-0.0712,0.0,0.0,0.0,0,0.0,0,42.8,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,84.88,2.21,0.089,0,NOMINAL
12.535,18,1,0.3238,0.2664,0.4567,0,11952.75,-22433.11,47714.38,0.0258,-0.0733,0.0,0.0,0.0,0,0.0,0,54.4,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,84.35,2.25,0.092,0,NOMINAL
12.567,19,1,0.3258,0.2738,0.4561,0,12101.11,-22488.01,47457.15,0.0246,-0.0707,0.0,0.0,0.0,0,0.0,0,54.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,83.84,2.29,0.095,0,NOMINAL
12.594,20,1,0.3368,0.2815,0.4585,0,12018.32,-22513.7,47563.49,0.0295,-0.0745,0.0,0.0,0.0,0,0.0,0,49.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,83.34,2.33,0.098,0,NOMINAL
12.627,21,1,0.3337,0.2879,0.4592,0,12080.01,-22531.02,47537.52,0.0272,-0.0745,0.0,0.0,0.0,0,0.0,0,41.1,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,82.87,2.37,0.101,0,NOMINAL
12.657,22,1,0.3326,0.2934,0.4586,0,12052.01,-22493.9,47503.56,0.0287,-0.0707,0.0,0.0,0.0,0,0.0,0,45.1,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,82.4,2.41,0.103,0,NOMINAL
12.691,23,1,0.3114,0.2956,0.4585,0,12318.16,-22560.64,47217.58,0.0152,-0.067,0.0,0.0,0.0,0,0.0,0,56.1,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,81.96,2.44,0.106,0,NOMINAL
12.723,24,1,0.2386,0.2886,0.4589,0,12401.26,-22676.01,47111.04,-0.0221,-0.0367,0.0,0.0,0.0,0,0.0,0,47.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,81.53,2.48,0.109,0,NOMINAL
12.758,25,1,0.3114,0.2914,0.4549,0,12022.97,-22435.48,47447.15,-0.0206,-0.0588,0.0,0.0,0.0,0,0.0,0,48.9,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,81.11,2.51,0.112,0,NOMINAL
12.788,26,1,0.3422,0.2976,0.4561,0,11966.47,-22495.43,47533.56,-0.0055,-0.067,0.0,0.0,0.0,0,0.0,0,39.3,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,80.7,2.54,0.114,0,NOMINAL
12.82,27,1,0.357,0.3048,0.4599,0,11580.78,-22364.69,47729.87,0.0029,-0.0581,0.0,0.0,0.0,0,0.0,0,53.1,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,80.31,2.57,0.117,0,NOMINAL
12.854,28,1,0.3667,0.3123,0.459,0,11640.47,-22402.65,47702.69,-0.0034,-0.0501,0.0,0.0,0.0,0,0.0,0,54.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,79.94,2.61,0.12,0,NOMINAL
12.903,29,1,0.38,0.3205,0.4582,0,11607.08,-22503.68,47619.83,-0.0076,-0.0503,0.0,0.0,0.0,0,0.0,0,45.8,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,79.57,2.63,0.122,0,NOMINAL
12.936,30,1,0.3798,0.3277,0.457,0,11303.9,-22265.27,48032.5,-0.0018,-0.0541,0.0,0.0,0.0,0,0.0,0,47.2,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,79.22,2.66,0.125,0,NOMINAL
12.969,31,1,0.383,0.3344,0.457,0,11568.72,-22420.3,47796.35,-0.0044,-0.0552,0.0,0.0,0.0,0,0.0,0,46.8,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,78.88,2.69,0.127,0,NOMINAL
12.997,32,1,0.3878,0.3409,0.4563,0,11458.07,-22358.57,47891.26,-0.0049,-0.0527,0.0,0.0,0.0,0,0.0,0,126.6,84.6,1,100.0,100.0,0.0,0.0,100.0,15.4,78.13,2.75,0.133,0,NOMINAL
13.033,33,1,0.3873,0.3465,0.4548,0,11388.75,-22397.46,47886.91,-0.0036,-0.0522,0.0,0.0,0.0,0,0.0,0,48.6,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,77.82,2.77,0.135,0,NOMINAL
13.059,34,1,0.3847,0.3511,0.4541,0,11435.51,-22367.96,47827.46,-0.0036,-0.0501,0.0,0.0,0.0,0,0.0,0,59.3,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,77.53,2.8,0.138,0,NOMINAL
13.094,35,1,0.3848,0.3552,0.4552,0,11484.7,-22347.84,47799.24,-0.0019,-0.0509,0.0,0.0,0.0,0,0.0,0,48.6,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,77.24,2.82,0.14,0,NOMINAL
13.125,36,1,0.3852,0.3588,0.4562,0,11351.87,-22217.88,47915.95,0.0049,-0.0534,0.0,0.0,0.0,0,0.0,0,49.4,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,76.97,2.84,0.142,0,NOMINAL
13.157,37,1,0.3872,0.3623,0.4556,0,11387.78,-22277.69,47824.9,0.0033,-0.0536,0.0,0.0,0.0,0,0.0,0,54.3,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,76.7,2.86,0.144,0,NOMINAL
13.19,38,1,0.3851,0.365,0.4564,0,11427.76,-22230.14,47841.17,0.0013,-0.0504,0.0,0.0,0.0,0,0.0,0,45.2,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,76.45,2.88,0.146,0,NOMINAL
13.22,39,1,0.3943,0.3686,0.4574,0,11536.14,-22285.95,47754.41,0.0023,-0.0501,0.0,0.0,0.0,0,0.0,0,50.4,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,76.2,2.9,0.148,0,NOMINAL
13.254,40,1,0.3966,0.372,0.4566,0,11607.64,-22300.19,47597.02,0.0057,-0.0518,0.0,0.0,0.0,0,0.0,0,50.3,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,75.96,2.92,0.151,0,NOMINAL
13.283,41,1,0.4007,0.3754,0.4588,0,11586.42,-22306.97,47526.24,0.0039,-0.0476,0.0,0.0,0.0,0,0.0,0,54.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,75.73,2.94,0.152,0,NOMINAL
13.337,42,1,0.4026,0.3787,0.459,0,11656.0,-22314.51,47462.18,0.0018,-0.0481,0.0,0.0,0.0,0,0.0,0,33.4,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,75.5,2.96,0.154,0,NOMINAL
13.372,43,1,0.4031,0.3817,0.457,0,11624.63,-22337.76,47559.57,-0.0031,-0.045,0.0,0.0,0.0,0,0.0,0,51.9,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,75.29,2.98,0.156,0,NOMINAL
13.407,44,1,0.4022,0.3842,0.4559,0,11810.16,-22378.39,47387.57,0.004,-0.0499,0.0,0.0,0.0,0,0.0,0,49.4,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,75.08,2.99,0.158,0,NOMINAL
13.439,45,1,0.393,0.3852,0.4563,0,11443.9,-22211.88,47802.8,0.0441,-0.0881,0.0,0.0,0.0,0,0.0,0,50.6,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,74.87,3.01,0.16,0,NOMINAL
13.463,46,1,0.3729,0.3837,0.457,0,11669.23,-22352.86,47729.65,0.0439,-0.0899,0.0,0.0,0.0,0,0.0,0,46.0,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,74.68,3.03,0.162,0,NOMINAL
13.489,47,1,0.3809,0.3834,0.4573,0,11762.95,-22342.11,47630.1,0.0441,-0.0918,0.0,0.0,0.0,0,0.0,0,44.4,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,74.49,3.04,0.163,0,NOMINAL
13.519,48,1,0.3948,0.3848,0.4578,0,11663.76,-22322.63,47600.07,0.0452,-0.0917,0.0,0.0,0.0,0,0.0,0,47.9,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,74.31,3.06,0.165,0,NOMINAL
13.557,49,1,0.4045,0.3872,0.4587,0,11583.34,-22281.83,47586.8,0.0482,-0.088,0.0,0.0,0.0,0,0.0,0,53.7,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,74.13,3.07,0.167,0,NOMINAL
13.588,50,1,0.3973,0.3884,0.458,0,11499.63,-22257.66,47618.0,0.0524,-0.089,0.0,0.0,0.0,0,0.0,0,44.6,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,73.96,3.08,0.168,0,NOMINAL
13.619,51,1,0.3917,0.3888,0.4586,0,11541.86,-22185.95,47611.17,0.053,-0.0859,0.0,0.0,0.0,0,0.0,0,47.1,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,73.79,3.1,0.17,0,NOMINAL
13.653,52,1,0.3905,0.389,0.4597,0,11598.93,-22167.23,47590.35,0.0623,-0.0881,0.0,0.0,0.0,0,0.0,0,133.3,100.0,1,100.0,100.0,0.0,0.0,100.0,0.0,73.13,3.15,0.176,0,NOMINAL
13.686,53,1,0.3992,0.3902,0.4586,0,11689.94,-22265.36,47515.47,0.0686,-0.0907,0.0,0.0,0.0,0,0.0,0,49.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,73.0,3.16,0.178,0,NOMINAL
13.72,54,1,0.3942,0.3907,0.4571,0,11598.48,-22245.82,47488.37,0.0736,-0.0919,0.0,0.0,0.0,0,0.0,0,50.1,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,72.86,3.17,0.179,0,NOMINAL
13.769,55,1,0.3925,0.3909,0.4586,0,11486.35,-22141.25,47603.16,0.0719,-0.0899,0.0,0.0,0.0,0,0.0,0,45.4,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,72.73,3.18,0.18,0,NOMINAL
13.803,56,1,0.3974,0.3917,0.4591,0,11511.63,-22196.16,47586.68,0.0691,-0.0943,0.0,0.0,0.0,0,0.0,0,47.0,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,72.61,3.19,0.181,0,NOMINAL
13.831,57,1,0.3924,0.3918,0.4588,0,11443.74,-22172.99,47649.66,0.0744,-0.0901,0.0,0.0,0.0,0,0.0,0,46.6,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,72.49,3.2,0.183,0,NOMINAL
13.857,58,1,0.3923,0.3918,0.4595,0,11411.1,-22171.12,47661.69,0.0703,-0.0896,0.0,0.0,0.0,0,0.0,0,45.3,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,72.37,3.21,0.184,0,NOMINAL
13.89,59,1,0.3885,0.3914,0.4596,0,11348.62,-22064.15,47790.0,0.0711,-0.0896,0.0,0.0,0.0,0,0.0,0,52.8,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,72.26,3.22,0.185,0,NOMINAL
13.924,60,1,0.3943,0.3918,0.459,0,11249.55,-22060.91,47758.47,0.0762,-0.0895,0.0,0.0,0.0,0,0.0,0,52.0,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,72.15,3.23,0.186,0,NOMINAL
13.957,61,1,0.3886,0.3914,0.458,0,11260.3,-21982.72,47741.03,0.0754,-0.0876,0.0,0.0,0.0,0,0.0,0,50.1,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,72.05,3.24,0.187,0,NOMINAL
13.988,62,1,0.3881,0.391,0.4588,0,11394.35,-22040.7,47527.03,0.0797,-0.0915,0.0,0.0,0.0,0,0.0,0,50.7,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,71.94,3.24,0.188,0,NOMINAL
14.017,63,1,0.3962,0.3916,0.4581,0,11429.33,-22056.35,47516.96,0.0742,-0.0949,0.0,0.0,0.0,0,0.0,0,37.7,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,71.85,3.25,0.189,0,NOMINAL
14.055,64,1,0.4077,0.3936,0.4575,0,11398.18,-22082.41,47564.03,0.0706,-0.096,0.0,0.0,0.0,0,0.0,0,48.1,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,71.75,3.26,0.19,0,NOMINAL
14.085,65,1,0.3964,0.3939,0.4587,0,11281.58,-22043.95,47628.84,0.0683,-0.0899,0.0,0.0,0.0,0,0.0,0,44.7,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,71.66,3.27,0.191,0,NOMINAL
14.115,66,1,0.3986,0.3945,0.458,0,11635.14,-22144.17,47365.33,0.0676,-0.0927,0.0,0.0,0.0,0,0.0,0,44.6,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,71.57,3.27,0.192,0,NOMINAL
14.147,67,1,0.4009,0.3953,0.4593,0,11706.34,-22103.21,47384.27,0.07,-0.0922,0.0,0.0,0.0,0,0.0,0,51.9,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,71.49,3.28,0.193,0,NOMINAL
14.193,68,1,0.4037,0.3963,0.4596,0,11719.97,-22177.45,47344.71,0.0683,-0.0921,0.0,0.0,0.0,0,0.0,0,50.3,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,71.4,3.29,0.194,0,NOMINAL
14.229,69,1,0.4094,0.3979,0.4601,0,11780.03,-22269.29,47353.5,0.0693,-0.091,0.0,0.0,0.0,0,0.0,0,47.9,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,71.32,3.29,0.194,0,NOMINAL
